StudyID,Species,Taxon.group,Endo.Ecto,Lat.Decimal.Degrees,Trait.Name,Fitness.Measure.Defined,N,linear.coefs,linear.coefs.se,grad.diff,elevation,abs.Lat
51,Poecilia reticulata,V,Ecto,10.4606,Body Size,survival,NA,-0.05,NA,grad,88,10.4606
67,Ovis aries,V,Endo,57.814,hindlimb length - adult females,survival,112,-0.05,0.035,grad,121,57.814
75,Salmo salar,V,Ecto,42.4167,growth (immature + mature fish),Age-1 summer survival,260,-0.05,NA,grad,124,42.4167
112,Zosterops lateralis chlorocephalus,V,Endo,-23.4333,tarsus,survival,NA,-0.05,0.06,grad,-17,23.4333
112,Zosterops lateralis chlorocephalus,V,Endo,-23.4333,tarsus,survival,NA,-0.05,0.08,grad,-17,23.4333
158,Parus major,V,Endo,52.0833,adult body mass,survival to the next breeding season,238,-0.049,0.032,grad,39,52.0833
144,Carpodacus mexicanus,V,Endo,46.8607,Beak Depth,juvenile survival,339,-0.049,NA,grad,971,46.8607
158,Parus major,V,Endo,52.0833,adult body mass,survival to the next breeding season,197,-0.048,0.036,grad,39,52.0833
61,Negaprion brevirostris,V,Ecto,25.745,body length,survival,95,-0.047,NA,grad,8,25.745
61,Negaprion brevirostris,V,Ecto,25.745,condition factor,survival,58,-0.047,NA,grad,8,25.745
119,Aquarius remigis,I,Ecto,45.5167,thorax length,longevity,60,-0.046,NA,grad,31,45.5167
158,Parus major,V,Endo,53.2833,adult body mass,survival to the next breeding season,236,-0.046,0.032,grad,-2,53.2833
158,Parus major,V,Endo,53.2833,tarsus length,survival to the next breeding season,240,-0.044,0.032,grad,-2,53.2833
15,Parus caeruleus,V,Endo,42.55,chick tarsus length,survival (recruitment to the breeding population),133,-0.04376235,0.22937654,grad,593,42.55
11,Calopteryx splendens,I,Ecto,55.7,Total length,"Minimum lifespan in field (a measure of survival), H_je «_Å population",992,-0.04326,NA,grad,10,55.7
144,Carpodacus mexicanus,V,Endo,46.8607,Beak width,juvenile survival,524,-0.043,NA,grad,971,46.8607
15,Parus caeruleus,V,Endo,42.55,chick tarsus length,survival (recruitment to the breeding population),137,-0.040849391,0.33268822,grad,593,42.55
158,Parus major,V,Endo,52.0833,adult body mass,survival to the next breeding season,208,-0.04,0.035,grad,39,52.0833
158,Parus major,V,Endo,51.641,adult body mass,survival to the next breeding season,54,-0.04,0.066,grad,10,51.641
75,Salmo salar,V,Ecto,42.4167,condition factor (immature fish),Age-1 winter survival,379,-0.04,NA,grad,124,42.4167
75,Salmo salar,V,Ecto,42.4167,growth (immature fish),Age-1 winter survival,196,-0.04,NA,grad,124,42.4167
75,Salmo salar,V,Ecto,42.4167,growth (immature + mature fish),Age-1 winter survival,251,-0.04,NA,grad,124,42.4167
75,Salmo salar,V,Ecto,42.4167,growth (immature + mature fish),Age-2 winter survival,188,-0.04,NA,grad,124,42.4167
75,Salmo salar,V,Ecto,42.4167,condition factor (immature fish),Age-1 summer survival,197,-0.04,NA,grad,124,42.4167
75,Salmo salar,V,Ecto,42.4167,condition factor (immature fish),Age-1 summer survival,323,-0.04,NA,grad,124,42.4167
112,Zosterops lateralis chlorocephalus,V,Endo,-23.4333,culd,survival,NA,-0.04,0.05,grad,-17,23.4333
112,Zosterops lateralis chlorocephalus,V,Endo,-23.4333,tail,survival,NA,-0.04,0.08,grad,-17,23.4333
158,Parus major,V,Endo,51.641,adult body mass,survival to the next breeding season,84,-0.038,0.053,grad,10,51.641
158,Parus major,V,Endo,51.641,tarsus length,survival to the next breeding season,54,-0.037,0.069,grad,10,51.641
158,Parus major,V,Endo,53.2833,tarsus length,survival to the next breeding season,90,-0.037,0.053,grad,-2,53.2833
67,Ovis aries,V,Endo,57.814,body weight -  adult males,survival,9,-0.036,0.163,grad,121,57.814
144,Carpodacus mexicanus,V,Endo,46.8607,Beak width,juvenile survival,276,-0.035,NA,grad,971,46.8607
144,Carpodacus mexicanus,V,Endo,46.8607,Beak Length,juvenile survival,463,-0.035,NA,grad,971,46.8607
67,Ovis aries,V,Endo,57.814,body weight - juveniles,survival,60,-0.034,0.07,grad,121,57.814
158,Parus major,V,Endo,53.2833,adult body mass,survival to the next breeding season,125,-0.034,0.045,grad,-2,53.2833
61,Negaprion brevirostris,V,Ecto,25.745,condition factor,survival,70,-0.033,NA,grad,8,25.745
158,Parus major,V,Endo,51.641,tarsus length,survival to the next breeding season,80,-0.033,0.057,grad,10,51.641
158,Parus major,V,Endo,52.0833,tarsus length,survival to the next breeding season,256,-0.033,0.03,grad,39,52.0833
158,Parus major,V,Endo,53.2833,adult body mass,survival to the next breeding season,204,-0.033,0.035,grad,-2,53.2833
144,Carpodacus mexicanus,V,Endo,46.8607,Beak Depth,juvenile survival,664,-0.032,NA,grad,971,46.8607
15,Parus caeruleus,V,Endo,43.6667,chick tarsus length,survival (recruitment to the breeding population),475,-0.030436711,0.19647677,grad,232,43.6667
15,Parus caeruleus,V,Endo,42.55,chick weight,survival (recruitment to the breeding population),162,-0.030305075,0.16470774,grad,593,42.55
158,Parus major,V,Endo,52.0833,adult body mass,survival to the next breeding season,198,-0.03,0.035,grad,39,52.0833
79,Phasianus colchicus,V,Endo,55.7232,weight,male survival,38,-0.03,NA,grad,17,55.7232
79,Phasianus colchicus,V,Endo,55.7232,weight,male survival,32,-0.03,NA,grad,17,55.7232
75,Salmo salar,V,Ecto,42.4167,body length (immature + mature fish),Age-1 summer survival,282,-0.03,NA,grad,124,42.4167
75,Salmo salar,V,Ecto,42.4167,condition factor (immature fish),Age-1 winter survival,230,-0.03,NA,grad,124,42.4167
75,Salmo salar,V,Ecto,42.4167,condition factor (immature + mature fish),Age-1 winter survival,469,-0.03,NA,grad,124,42.4167
112,Zosterops lateralis chlorocephalus,V,Endo,-23.4333,wing,survival,NA,-0.03,0.06,grad,-17,23.4333
158,Parus major,V,Endo,52.0833,adult body mass,survival to the next breeding season,275,-0.029,0.03,grad,39,52.0833
158,Parus major,V,Endo,51.641,tarsus length,survival to the next breeding season,56,-0.028,0.068,grad,10,51.641
158,Parus major,V,Endo,53.2833,tarsus length,survival to the next breeding season,258,-0.027,0.031,grad,-2,53.2833
11,Calopteryx splendens,I,Ecto,55.7,Thorax width,"Minimum lifespan in field (a measure of survival), H_je «_Å population",453,-0.026438,NA,grad,10,55.7
158,Parus major,V,Endo,53.2833,tarsus length,survival to the next breeding season,216,-0.026,0.034,grad,-2,53.2833
11,Calopteryx splendens,I,Ecto,55.6333,Thorax width,"Minimum lifespan in field (a measure of survival), Klingav_ls_n population",374,-0.025323,NA,grad,33,55.6333
158,Parus major,V,Endo,53.2833,adult body mass,survival to the next breeding season,90,-0.025,0.054,grad,-2,53.2833
144,Carpodacus mexicanus,V,Endo,46.8607,Beak Length,juvenile survival,603,-0.024,NA,grad,971,46.8607
144,Carpodacus mexicanus,V,Endo,46.8607,Beak Length,juvenile survival,284,-0.024,NA,grad,971,46.8607
158,Parus major,V,Endo,52.0833,tarsus length,survival to the next breeding season,221,-0.024,0.034,grad,39,52.0833
158,Parus major,V,Endo,53.2833,tarsus length,survival to the next breeding season,258,-0.024,0.03,grad,-2,53.2833
144,Carpodacus mexicanus,V,Endo,46.8607,Beak width,juvenile survival,414,-0.023,NA,grad,971,46.8607
158,Parus major,V,Endo,52.0833,tarsus length,survival to the next breeding season,182,-0.023,0.037,grad,39,52.0833
158,Parus major,V,Endo,52.0833,tarsus length,survival to the next breeding season,197,-0.023,0.036,grad,39,52.0833
15,Parus caeruleus,V,Endo,43.6667,chick weight,survival (recruitment to the breeding population),230,-0.022490144,0.23084246,grad,232,43.6667
11,Calopteryx splendens,I,Ecto,55.7,Thorax width,"Minimum lifespan in field (a measure of survival), H_je «_Å population",992,-0.022095,NA,grad,10,55.7
67,Ovis aries,V,Endo,57.814,body weight - adult females,survival,98,-0.022,0.051,grad,121,57.814
158,Parus major,V,Endo,52.0833,adult body mass,survival to the next breeding season,165,-0.022,0.038,grad,39,52.0833
144,Carpodacus mexicanus,V,Endo,46.8607,Beak width,juvenile survival,342,-0.022,NA,grad,971,46.8607
158,Parus major,V,Endo,52.0833,tarsus length,survival to the next breeding season,224,-0.021,0.033,grad,39,52.0833
158,Parus major,V,Endo,52.0833,adult body mass,survival to the next breeding season,172,-0.02,0.038,grad,39,52.0833
158,Parus major,V,Endo,52.0833,adult body mass,survival to the next breeding season,202,-0.02,0.035,grad,39,52.0833
144,Carpodacus mexicanus,V,Endo,46.8607,Beak width,juvenile survival,603,-0.02,NA,grad,971,46.8607
158,Parus major,V,Endo,51.641,tarsus length,survival to the next breeding season,71,-0.02,0.06,grad,10,51.641
75,Salmo salar,V,Ecto,42.4167,condition factor (immature + mature fish),Age-2 winter survival,174,-0.02,NA,grad,124,42.4167
75,Salmo salar,V,Ecto,42.4167,condition factor (immature + mature fish),Age-2 winter survival,242,-0.02,NA,grad,124,42.4167
75,Salmo salar,V,Ecto,42.4167,condition factor (immature + mature fish),Age-1 summer survival,267,-0.02,NA,grad,124,42.4167
75,Salmo salar,V,Ecto,42.4167,condition factor (immature + mature fish),Age-1 summer survival,444,-0.02,NA,grad,124,42.4167
158,Parus major,V,Endo,52.0833,adult body mass,survival to the next breeding season,233,-0.019,0.033,grad,39,52.0833
158,Parus major,V,Endo,53.2833,tarsus length,survival to the next breeding season,116,-0.019,0.047,grad,-2,53.2833
158,Parus major,V,Endo,52.0833,adult body mass,survival to the next breeding season,149,-0.018,0.041,grad,39,52.0833
158,Parus major,V,Endo,52.0833,adult body mass,survival to the next breeding season,195,-0.017,0.035,grad,39,52.0833
158,Parus major,V,Endo,51.641,adult body mass,survival to the next breeding season,53,-0.017,0.07,grad,10,51.641
